countryName,IU11,GDP11,GDP_PC11,GDP_PC_Growth11,Health_Exp11,HDI11,EDI11,CPI11,PSI11,Unemployment11
Afghanistan,5.0,1626.76479325583,1626.764793,-2.68108084876349,51.5532587,0.465,0.374,1.52,-2.50206,1.983999968
Albania,49.0,10207.7523472149,10207.75235,2.82155873717815,246.8037602,0.759,0.715,3.05,-0.2823794,13.48099995
Algeria,14.9,13046.1285113709,13046.12851,0.980204694064881,286.1519858,0.738,0.644,2.9,-1.360561,9.960000038
Angola,3.1,6346.39512245023,6346.395122,-0.220846531029494,122.1178088,0.525,0.423,2.01,-0.3692378,7.361999989
Argentina,51.0,19817.4504765479,19817.45048,4.78868313859434,1068.380357,0.823,0.824,3.0,0.1589937,7.178999901
Armenia,32.0,7019.76774846004,7019.767748,4.72842677431717,133.2231377,0.733,0.737,2.63,-0.063869,18.44300079
Australia,79.4876977139029,41965.3584189919,41965.35842,1.04888379967608,5876.878483,0.928,0.922,8.84,0.9357101,5.080999851
Austria,78.7399930986888,44452.7327457999,44452.73275,2.57644831811446,5161.058295,0.897,0.838,7.79,1.193522,4.56400013
Azerbaijan,50.0,15754.1523626148,15754.15236,-2.84718295295991,333.8675952,0.731,0.659,2.38,-0.532136,5.420000076
Bahamas,65.0,29503.7080684624,29503.70807,-0.684017477592718,1661.356147,0.795,0.73,7.29,1.103621,14.52000046
Bahrain,76.9999665032303,40168.3278932788,40168.32789,-0.991929406389531,805.2403913,0.798,0.664,5.11,-0.9508419,1.139999986
Bangladesh,4.5,2650.72993332452,2650.729933,5.25309562973739,22.15706873,0.559,0.446,2.66,-1.404737,3.717999935
Barbados,66.5,16321.9834236748,16321.98342,-1.09478550684366,1145.173138,0.802,0.755,7.77,1.24613,11.18999958
Belarus,39.6488956598961,17166.6956434719,17166.69564,5.57238583709254,317.9670739,0.798,0.829,2.42,-0.087769,6.074999809
Belgium,81.6099959955952,40942.372710454,40942.37271,0.380018329951753,4792.402858,0.904,0.873,7.49,0.9545354,7.139999866
Belize,30.7,7694.35511087352,7694.355111,-0.242059956602787,251.7504815,0.699,0.65,0.0,0.1519089,12.75800037
Benin,4.14832306562512,1820.8893040888,1820.889304,0.11605829820877,34.87116587,0.479,0.411,2.97,0.3183564,2.645999908
Bhutan,14.4,7097.18994034443,7097.18994,6.76852946157733,74.48488781,0.581,0.408,5.74,0.8264953,3.230000019
Bosnia and Herzegovina,43.8876865285545,9976.47966210109,9976.479662,2.12915035329164,463.5262179,0.722,0.626,3.21,-0.8197949,27.58200073
Botswana,9.0,13838.6028216807,13838.60282,4.55935822956552,471.4581832,0.676,0.641,6.08,1.064447,17.77000046
Brazil,45.69,15061.9531879979,15061.95319,3.02640687281159,1288.081169,0.73,0.622,3.77,-0.1325754,6.916999817
Brunei Darussalam,56.0,82502.9352973488,82502.9353,2.4166421030224,876.434037,0.836,0.692,0.0,1.085194,6.71999979
